ProviderName,CONN_CONFIG,RegionName,RegionLocation,DriverLibFileName,DriverName
NCP,ncpkr1,ncp-korea1,Korea,ncp-driver-v1.0.so,ncp-driver01
NCP,ncpusw,ncp-us-western,US West,ncp-driver-v1.0.so,ncp-driver01
NCP,ncpde,ncp-germany,Germany,ncp-driver-v1.0.so,ncp-driver01
NCP,ncpsg,ncp-singapore,Singapore,ncp-driver-v1.0.so,ncp-driver01
NCP,ncpjp,ncp-japan,Japan,ncp-driver-v1.0.so,ncp-driver01
CLOUDIT,cit,cloudit-region01,Korea Seoul (Internal),cloudit-driver-v1.0.so,cloudit-driver01
TENCENT,tencent-XXX,tct-sing,Singapore,tencent-driver-v1.0.so,tencent-driver01
CLOUDTWIN,ct-region01,cloudtwin-region01,Korea Daejeon (Internal),cloudtwin-driver-v1.0.so,cloudtwin-driver01
MOCK,mock-seoul,mock-seoul,Korea Seoul (Virtual),mock-driver-v1.0.so,mock-driver01
MOCK,testcloud01-seoul,testcloud01-seoul,Korea (Seoul),mock-driver-v1.0.so,mock-driver01
MOCK,testcloud02-canada,testcloud02-canada,Canada (Central),mock-driver-v1.0.so,mock-driver01
MOCK,testcloud03-frankfurt,testcloud03-frankfurt,Europe (Frankfurt),mock-driver-v1.0.so,mock-driver01
